X,Y,id,left,top,right,bottom,row_index,col_index
121.388877910744,24.8874599354131,828,288789.21,2753868.6283,289789.21,2752868.6283,46,11
121.388849646434,24.8784316197788,829,288789.21,2752868.6283,289789.21,2751868.6283,47,11
121.388821395834,24.8694032931973,830,288789.21,2751868.6283,289789.21,2750868.6283,48,11
121.388793158937,24.8603749556715,831,288789.21,2750868.6283,289789.21,2749868.6283,49,11
121.388764935741,24.8513466072042,832,288789.21,2749868.6283,289789.21,2748868.6283,50,11
121.38873672624,24.8423182477986,833,288789.21,2748868.6283,289789.21,2747868.6283,51,11
121.38870853043,24.8332898774573,834,288789.21,2747868.6283,289789.21,2746868.6283,52,11
121.399769394182,25.1943896505268,865,289789.21,2787868.6283,290789.21,2786868.6283,12,12
121.399739929898,25.1853617196113,866,289789.21,2786868.6283,290789.21,2785868.6283,13,12
121.399710479825,25.1763337776486,867,289789.21,2785868.6283,290789.21,2784868.6283,14,12
121.39968104396,25.1673058246417,868,289789.21,2784868.6283,290789.21,2783868.6283,15,12
121.399651622297,25.1582778605935,869,289789.21,2783868.6283,290789.21,2782868.6283,16,12
121.399622214832,25.1492498855068,870,289789.21,2782868.6283,290789.21,2781868.6283,17,12
121.39959282156,25.1402218993845,871,289789.21,2781868.6283,290789.21,2780868.6283,18,12
121.399563442477,25.1311939022295,872,289789.21,2780868.6283,290789.21,2779868.6283,19,12
121.399534077578,25.1221658940447,873,289789.21,2779868.6283,290789.21,2778868.6283,20,12
121.399504726858,25.1131378748329,874,289789.21,2778868.6283,290789.21,2777868.6283,21,12
121.399475390314,25.1041098445971,875,289789.21,2777868.6283,290789.21,2776868.6283,22,12
121.39944606794,25.09508180334,876,289789.21,2776868.6283,290789.21,2775868.6283,23,12
121.399416759732,25.0860537510647,877,289789.21,2775868.6283,290789.21,2774868.6283,24,12
121.399387465686,25.0770256877739,878,289789.21,2774868.6283,290789.21,2773868.6283,25,12
121.399358185796,25.0679976134706,879,289789.21,2773868.6283,290789.21,2772868.6283,26,12
121.399328920059,25.0589695281577,880,289789.21,2772868.6283,290789.21,2771868.6283,27,12
121.399299668469,25.049941431838,881,289789.21,2771868.6283,290789.21,2770868.6283,28,12
121.399270431023,25.0409133245145,882,289789.21,2770868.6283,290789.21,2769868.6283,29,12
121.399241207715,25.03188520619,883,289789.21,2769868.6283,290789.21,2768868.6283,30,12
121.399211998541,25.0228570768674,884,289789.21,2768868.6283,290789.21,2767868.6283,31,12
121.399182803497,25.0138289365497,885,289789.21,2767868.6283,290789.21,2766868.6283,32,12
121.399153622578,25.0048007852396,886,289789.21,2766868.6283,290789.21,2765868.6283,33,12
121.39912445578,24.9957726229402,887,289789.21,2765868.6283,290789.21,2764868.6283,34,12
121.399095303097,24.9867444496543,888,289789.21,2764868.6283,290789.21,2763868.6283,35,12
121.399066164527,24.9777162653847,889,289789.21,2763868.6283,290789.21,2762868.6283,36,12
121.399037040063,24.9686880701345,890,289789.21,2762868.6283,290789.21,2761868.6283,37,12
121.399007929702,24.9596598639065,891,289789.21,2761868.6283,290789.21,2760868.6283,38,12
121.398978833439,24.9506316467036,892,289789.21,2760868.6283,290789.21,2759868.6283,39,12
121.398949751269,24.9416034185287,893,289789.21,2759868.6283,290789.21,2758868.6283,40,12
121.398920683188,24.9325751793847,894,289789.21,2758868.6283,290789.21,2757868.6283,41,12
121.398891629192,24.9235469292745,895,289789.21,2757868.6283,290789.21,2756868.6283,42,12
121.398862589276,24.9145186682011,896,289789.21,2756868.6283,290789.21,2755868.6283,43,12
121.398833563435,24.9054903961673,897,289789.21,2755868.6283,290789.21,2754868.6283,44,12
121.398804551665,24.896462113176,898,289789.21,2754868.6283,290789.21,2753868.6283,45,12
121.398775553962,24.8874338192301,899,289789.21,2753868.6283,290789.21,2752868.6283,46,12
121.398746570321,24.8784055143327,900,289789.21,2752868.6283,290789.21,2751868.6283,47,12
121.398717600737,24.8693771984865,901,289789.21,2751868.6283,290789.21,2750868.6283,48,12
121.398688645207,24.8603488716944,902,289789.21,2750868.6283,290789.21,2749868.6283,49,12
121.398659703725,24.8513205339595,903,289789.21,2749868.6283,290789.21,2748868.6283,50,12
121.398630776287,24.8422921852846,904,289789.21,2748868.6283,290789.21,2747868.6283,51,12
121.398601862889,24.8332638256726,905,289789.21,2747868.6283,290789.21,2746868.6283,52,12
121.409721898951,25.2033904116772,935,290789.21,2788868.6283,291789.21,2787868.6283,11,13
121.409691688842,25.1943625028732,936,290789.21,2787868.6283,291789.21,2786868.6283,12,13
121.409661493303,25.1853345830177,937,290789.21,2786868.6283,291789.21,2785868.6283,13,13
121.409631312327,25.1763066521135,938,290789.21,2785868.6283,291789.21,2784868.6283,14,13
121.409601145912,25.1672787101635,939,290789.21,2784868.6283,291789.21,2783868.6283,15,13
121.409570994051,25.1582507571705,940,290789.21,2783868.6283,291789.21,2782868.6283,16,13
121.40954085674,25.1492227931375,941,290789.21,2782868.6283,291789.21,2781868.6283,17,13
121.409510733975,25.1401948180673,942,290789.21,2781868.6283,291789.21,2780868.6283,18,13
121.409480625751,25.1311668319628,943,290789.21,2780868.6283,291789.21,2779868.6283,19,13
121.409450532063,25.1221388348269,944,290789.21,2779868.6283,291789.21,2778868.6283,20,13
